Number of nodes 1554 
     0 :  0.0000000e+00  8.0000000e-01
     1 :  0.0000000e+00  0.0000000e+00
     2 :  2.0000000e+01  8.0000000e-01
     3 :  2.0000000e+01  0.0000000e+00
     4 :  1.8500000e+01  0.0000000e+00
     5 :  1.8500000e+01 -3.5000000e+00
     6 :  1.7000000e+01 -3.5000000e+00
     7 :  1.7000000e+01 -1.5443684e+00
     8 :  1.7690782e+01 -9.5127594e-01
     9 :  1.7000000e+01 -3.5818352e-01
    10 :  1.7000000e+01  0.0000000e+00
    11 :  1.3333333e+01  0.0000000e+00
    12 :  1.3333333e+01 -3.5000000e+00
    13 :  1.1833333e+01 -3.5000000e+00
    14 :  1.1833333e+01  0.0000000e+00
    15 :  8.1666667e+00  0.0000000e+00
    16 :  8.1666667e+00 -3.5000000e+00
    17 :  6.6666667e+00 -3.5000000e+00
    18 :  6.6666667e+00  0.0000000e+00
    19 :  3.0000000e+00  0.0000000e+00
    20 :  3.0000000e+00 -3.5000000e+00
    21 :  1.5000000e+00 -3.5000000e+00
    22 :  1.5000000e+00  0.0000000e+00
    23 :  0.0000000e+00  7.0000000e-01
    24 :  0.0000000e+00  6.0000000e-01
    25 :  0.0000000e+00  5.0000000e-01
    26 :  0.0000000e+00  4.0000000e-01
    27 :  0.0000000e+00  3.0000000e-01
    28 :  0.0000000e+00  2.0000000e-01
    29 :  0.0000000e+00  1.0000000e-01
    30 :  1.9890290e+01  8.0000000e-01
    31 :  1.9756507e+01  8.0000000e-01
    32 :  1.9593369e+01  8.0000000e-01
    33 :  1.9394436e+01  8.0000000e-01
    34 :  1.9151852e+01  8.0000000e-01
    35 :  1.8879652e+01  8.0000000e-01
    36 :  1.8639402e+01  8.0000000e-01
    37 :  1.8412272e+01  8.0000000e-01
    38 :  1.8176973e+01  8.0000000e-01
    39 :  1.7908928e+01  8.0000000e-01
    40 :  1.7593481e+01  8.0000000e-01
    41 :  1.7325038e+01  8.0000000e-01
    42 :  1.7089582e+01  8.0000000e-01
    43 :  1.6862471e+01  8.0000000e-01
    44 :  1.6622421e+01  8.0000000e-01
    45 :  1.6342858e+01  8.0000000e-01
    46 :  1.5978781e+01  8.0000000e-01
    47 :  1.5498317e+01  8.0000000e-01
    48 :  1.5002378e+01  8.0000000e-01
    49 :  1.4507736e+01  8.0000000e-01
    50 :  1.4100985e+01  8.0000000e-01
    51 :  1.3799346e+01  8.0000000e-01
